image_name,x_min,y_min,x_max,y_max,class_name
00000.jpg,318,236,748,420,VMS
00000_B.jpg,276,236,706,420,VMS
00001.jpg,480,199,885,334,VMS
00001_B.jpg,139,199,544,334,VMS
00002.jpg,281,4,792,183,VMS
00002_B.jpg,231,4,742,183,VMS
00003.jpg,253,169,850,386,VMS
00003_B.jpg,173,169,771,386,VMS
00004.jpg,336,270,775,449,VMS
00004_B.jpg,249,270,687,449,VMS
00005.jpg,84,138,927,374,VMS
00005_B.jpg,97,138,939,374,VMS
00006.jpg,302,259,795,446,VMS
00006_B.jpg,228,259,721,446,VMS
00007.jpg,113,120,661,349,VMS
00007_B.jpg,363,120,910,349,VMS
00008.jpg,224,177,798,305,VMS
00008_B.jpg,225,177,799,305,VMS
00009.jpg,213,110,571,273,VMS
00009_B.jpg,453,110,810,273,VMS
00010.jpg,219,146,677,307,VMS
00010_B.jpg,347,146,805,307,VMS
00011.jpg,216,147,673,306,VMS
00011_B.jpg,350,147,808,306,VMS
00012.jpg,329,22,689,209,VMS
00012_B.jpg,335,22,694,209,VMS
00013.jpg,244,49,672,187,VMS
00013_B.jpg,352,49,780,187,VMS
00014.jpg,343,0,916,187,VMS
00014_B.jpg,107,0,681,187,VMS
00015.jpg,248,241,699,349,VMS
00015_B.jpg,324,241,776,349,VMS
00016.jpg,229,86,699,239,VMS
00016_B.jpg,324,86,794,239,VMS
00017.jpg,273,49,872,236,VMS
00017_B.jpg,151,49,750,236,VMS
00018.jpg,222,354,745,528,VMS
00018_B.jpg,279,354,801,528,VMS
00019.jpg,268,245,757,361,VMS
00019_B.jpg,266,245,756,361,VMS
00020.jpg,564,125,821,260,VMS
00020_B.jpg,203,125,459,260,VMS
00021.jpg,243,42,789,207,VMS
00021_B.jpg,235,42,781,207,VMS
00022.jpg,229,240,703,392,VMS
00022_B.jpg,321,240,794,392,VMS
00023.jpg,276,140,590,288,VMS
00023_B.jpg,434,140,747,288,VMS
00024.jpg,134,8,878,248,VMS
00024_B.jpg,145,8,889,248,VMS
00025.jpg,109,75,918,388,VMS
00025_B.jpg,105,75,915,388,VMS
00026.jpg,236,135,779,282,VMS
